Organ,Dice,IoU,Hausdorff95
Kidneys,0.8319655954837799,0.7282219678163528,1.9131181041399639
Liver,0.8924297243356705,0.8136395663022995,2.2549411952495575
Stomach,0.8712914784749349,0.7759432593981425,2.149829943974813
